,Регион отбытия,Регион прибытия,Год,Всего мигрантов в возрасте 14 лет и более,Военно-служащие,Руководители,"Специалисты высшего уровня квалификации, всего",Специалисты ВУК в области науки и техники,Специалисты ВУК в области здраво-охранения,Специалисты ВУК в области образования,Специалисты ВУК в сфере бизнеса и администрирования,Специалисты ВУК по инфор-мационно-коммуникационным технологиям (ИКТ),"Специалисты ВУК в области права, гуманитарных областей и культуры",Специалисты среднего уровня квалификации всего,В области науки и техники,Средний медицинский персонал здравоохранения,Специалисты (ср.квал) по экономической и административной деятельности,"Специалитсы (ср. квал) в области правовой, социальной работы, культуры, спорта и родственных занятий",Специалитсы (ср. квал) в области информационно-коммуникационным технологиям (ИКТ),"Служащие, занятые подготовкой и оформлением документации, учетом и обслуживанием, всего",Служащие общего профиля и обслуживающие офисную технику,Служащие сферы обслуживания населения,Служащие в сфере обработки числовой информации и учета материальных ценностей,"Работники сферы обслуживания и торговли, охраны граждан и собственности","Квалифицированные работники сельского и лесного хозяйства, рыбоводства и рыболовства","Квалифицированные рабочие промышленности, строительства, транспорта и рабочие родственных занятий","Операторы производственных установок и машин, сборщики и водители",Неквалифицированные рабочие,Не указано
0,Российская Федерация,Белгородская область,2019,36031,1046,448,3209,158,371,679,397,162,213,2456,147,347,185,230,67,1188,97,609,35,1453,598,1684,159,574,14246
1,Центральный федеральный округ,Белгородская область,2019,26623,618,350,2521,120,290,537,305,135,165,1889,97,280,137,181,45,915,72,471,27,1180,519,1297,120,478,10094
2,Белгородская область,Белгородская область,2019,19480,382,292,2156,100,247,467,258,118,144,1654,82,247,122,154,41,787,54,401,24,1011,467,1117,108,411,8032
3,Брянская область,Белгородская область,2019,143,9,0,11,1,1,1,1,1,1,4,0,1,0,0,0,1,1,0,0,9,1,2,1,2,91
4,Владимирская область,Белгородская область,2019,76,3,1,4,0,0,1,1,0,0,1,0,0,0,0,0,3,0,1,0,1,0,1,0,2,43
5,Воронежская область,Белгородская область,2019,1468,62,8,54,3,8,10,3,1,3,37,5,5,4,4,1,26,3,17,0,31,12,25,1,14,313
6,Ивановская область,Белгородская область,2019,58,3,1,5,0,1,1,1,0,0,2,0,0,0,0,0,2,0,2,0,2,0,3,0,4,20
7,Калужская область,Белгородская область,2019,79,2,0,4,0,1,1,1,0,0,3,0,2,0,0,0,1,0,1,0,3,0,2,0,0,35
8,Костромская область,Белгородская область,2019,44,4,0,5,0,0,0,0,1,0,2,0,0,0,0,0,1,0,1,0,2,0,4,0,0,23
9,Курская область,Белгородская область,2019,1573,57,14,105,5,17,24,11,5,8,88,4,12,6,11,0,39,8,18,0,53,20,73,5,15,761
10,Липецкая область,Белгородская область,2019,177,15,3,16,2,4,2,1,0,1,15,1,2,1,2,0,3,0,3,0,6,7,8,0,1,65
11,Московская область,Белгородская область,2019,1212,29,6,70,4,4,11,19,3,4,41,3,8,3,3,1,17,1,8,2,29,2,20,4,8,220
12,Орловская область,Белгородская область,2019,143,8,2,6,0,1,1,1,0,0,4,0,0,0,0,0,5,0,3,0,4,3,4,0,2,83
13,Рязанская область,Белгородская область,2019,56,4,1,3,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,3,0,2,0,0,17
14,Смоленская область,Белгородская область,2019,71,8,3,5,0,0,2,0,0,0,1,0,0,0,0,0,2,2,0,0,2,1,4,0,1,24
15,Тамбовская область,Белгородская область,2019,91,6,1,3,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,1,2,1,4,0,2,40
16,Тверская область,Белгородская область,2019,95,3,0,14,1,1,1,2,3,0,1,0,0,0,0,0,3,0,3,0,7,1,5,0,2,44
17,Тульская область,Белгородская область,2019,119,7,0,3,0,0,1,0,0,0,3,0,0,0,1,0,7,0,5,0,3,1,7,0,1,55
18,Ярославская область,Белгородская область,2019,57,5,1,4,0,0,3,0,0,0,3,1,0,0,0,1,2,0,2,0,0,2,0,0,2,17
19,г.Москва,Белгородская область,2019,1681,11,17,53,4,5,11,6,3,4,24,1,3,1,6,0,14,3,6,0,12,1,16,1,11,211
20,Северо-Западный федеральный округ,Белгородская область,2019,2410,76,24,155,10,22,29,17,7,17,132,12,17,20,12,5,59,5,24,1,59,11,71,9,19,769
21,Республика Карелия,Белгородская область,2019,66,2,1,3,1,1,0,0,0,0,6,1,0,2,1,0,0,0,0,0,2,0,3,1,1,32
22,Республика Коми,Белгородская область,2019,446,6,14,50,2,5,6,10,2,5,47,3,5,7,4,3,14,2,5,0,16,2,19,3,4,219
23,Архангельская область,Белгородская область,2019,245,7,3,19,1,2,6,0,1,2,22,3,4,2,2,2,14,1,6,0,14,1,10,2,4,109
24,Hенецкий авт.округ,Белгородская область,2019,20,0,0,4,0,0,2,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,11
25,Архангельская область без Ненецкого АО,Белгородская область,2019,225,7,3,15,1,2,4,0,1,1,22,3,4,2,2,2,12,1,5,0,14,1,9,2,4,98
26,Вологодская область,Белгородская область,2019,57,5,0,2,0,0,0,0,0,0,5,0,2,1,1,0,2,0,1,0,0,0,2,0,0,27
27,Калининградская область,Белгородская область,2019,75,10,0,3,2,1,0,0,0,0,3,0,0,1,0,0,1,0,1,0,0,0,3,2,0,31
28,Ленинградская область,Белгородская область,2019,205,6,1,13,0,2,1,1,1,3,9,1,1,1,0,0,2,0,0,0,7,0,6,0,2,48
29,Мурманская область,Белгородская область,2019,495,26,2,33,2,7,7,3,1,4,27,2,4,4,1,0,15,0,7,1,15,5,17,1,5,196
30,Новгородская область,Белгородская область,2019,42,1,0,2,0,0,2,0,0,0,1,0,0,0,0,0,3,0,0,0,0,2,0,0,0,17
31,Псковская область,Белгородская область,2019,50,2,0,1,0,1,0,0,0,0,3,0,0,1,1,0,2,0,1,0,1,0,0,0,0,14
32,г.Санкт-Петербург,Белгородская область,2019,729,11,3,29,2,3,7,3,2,3,9,2,1,1,2,0,6,2,3,0,4,1,11,0,3,76
33,Южный федеральный округ,Белгородская область,2019,1309,42,3,65,6,9,14,8,3,3,60,6,6,2,7,2,47,7,22,2,32,15,36,7,12,548
34,Республика Адыгея,Белгородская область,2019,19,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,6
35,Республика Калмыкия,Белгородская область,2019,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7
36,Республика Крым,Белгородская область,2019,210,6,0,14,4,1,4,0,0,1,9,1,0,2,1,0,5,2,1,0,4,6,10,1,2,119
